Bạn có sẵn lòng trả giá cao hơn để mua sản phẩm của Việt Tiến nếu chất lượng cải thiện không?,Thời điểm nào trong ngày bạn mua hàng nhiều nhất?,Bạn quan tâm đến loại sản phẩm nào?,Bạn thường mua sản phẩm ở đâu?,Bạn thường dành bao nhiêu thời gian trong ngày để sử dụng mạng xã hội?,Thời gian rảnh bạn thường sử dụng mạng xã hội nào?,Bạn thường quan tâm đến sản phẩm nào của Việt Tiến?,Bạn thường mua hàng quan tâm đến điều gì?,Giá sản phẩm đã tương xứng với chất lượng sản phẩm chưa?,"Bạn đánh giá thế nào về sự phù hợp của sản phẩm Việt Tiến so với nhu cầu công việc, sự kiện của bạn?",Bạn thấy chất lượng sản phẩm Việt Tiến như thế nào?,Đội ngũ tư vấn sản phẩm như thế nào?,Đội ngũ hỗ trợ trả hàng và hỗ trợ khách hàng như thế nào?,Chất lượng giao hàng thế nào?,Chất lượng đóng hàng thế nào?,Bạn có thấy sự thay đổi trong chất lượng sản phẩm của Việt Tiến trong thời gian gần đây?,Bạn có thường xuyên theo dõi các bản tin hoặc cập nhật từ chúng tôi không?,Bạn thích chương trình khuyến mại nào lên tôi?,Bạn có thấy các chương trình khuyến mãi của chúng tôi hấp dẫn không?,Bạn thường thấy các quảng cáo của chúng tôi ở đâu nhiều nhất?,Bạn có thấy chúng tôi có các chương trình khuyến mãi và giảm giá phù hợp không?,Những loại nội dung quảng cáo dưới dạng nào thu hút bạn nhất?,Điều gì khiến bạn chọn mua sản phẩm của Việt Tiến vì nhãn hàng khác?,Bạn thường mua sắm các sản phẩm quần áo nào ngoài Việt Tiến trong 6 tháng qua?,Bạn có thấy các chương trình khuyến mãi của các nhãn hàng khác hấp dẫn hơn so với Việt Tiến không?,Bạn cảm nhận thế nào về chất lượng dịch vụ (chăm sóc khách hàng sau và trước bán hàng) của Việt Tiến so với nhãn hàng khác?
Có,0-1h,TDời jrang công s1,KZác: …………4…,2 teếng,FaceKook,ThờCDtrBng công sở,liá thành,CRưa t0ơng xứTg,Uhjng phù hợp,ổn,,CPưE nhKệt tình,Chưaenhanh (tsyn 7 jgày),Cẩn tbận,Koôhg thay đổi,"5ó, nxưng chỉ 7hi có Wộl dunD thú vị",,"Khcng,4các chươlM trình kh0y3n mHi Uhông đủWhấp dẫn",InstaAram,CóP rất phù hợp Jới nhX cầu 7ủaSMli,,Piá rẻ hUn,Nhãd hàGg kháS:______a__,"K8ông, Rương đưyng",Qốt hơn
Có,6 – 4h,P4ụ kiện thờN jrang,Tikt9k,7 tiếYg,Sàn thưqnM mại điệr tử,Thời traBM cô3g sở,Phấtnlượn4 sản phẩm,Chưa tưyng xpTg,Phù hợ7,RấtWtốt,NhiệZ tình,Chưa nhiệt5Wìhh,rhoa nhanh (trên a 4gày),Khôns đảm bảo6màng,Không7rõ,"Có, nhưnQ chỉ khi c0Inội dtngEthúwv9",,"Kmông, tôi kfông quanGtâm",TiktNk,b6ôngb tôi thyy k5u0ến mãi khôngRh3p dẫn,Bti viết,ChấtmlWợng tốt hsn,Chanjl,"Có, mộtWchúK",Tốt 4ơn
Có,6 –87h,Whời trang cFng kở,Sàn thươqgrmạirđiệs tử,3 tiếng,TiBtok,ves,Khác: …W…,mhưd hương xứng,KhOng phùVhợp,ổn,Nhiệt7Wình,Thân tniIn,,RấtHRẩn thận,5hông rõ,"Có, nhưng8chT khi có nộiDdung5tYz vN",Giảm giá oảnbpuẩm,"Có,8nhưVg Xiếm khi tqam gir",8iktok,"Không, tôi thấy kmufến mãN ygông hiB 3ẫn",4ình ảnh,Mẫu mã đa B9ng hơn,Chanev,Không 8heCQdii chTơng trình 9huyến mãI,Tnt hơn
Tùm thuộclvjo mứ7 tăng Eiá,h1-23h,Thời traNgxcông sq,Khác: ……………T,4 wiếng,Sàndthươngemạ0 điện tử,"Whụ kiệnq(LiầyQda, tYấtVlưng,6ví,…)",Giá Vhành,Chưo tươeg xứjg,Bìdh thyờng,Tốt,ihân thiệz,Thân thiPn,Nhanh Dtừ 4Zđến 6 ngàyY,yất cOn thận,Khfng tday đổi,"Có,A0ôi lu3e cậK nhct 7hông tinamới Email mar2Tting",Khác:L………O,KhôngrvtZi khmbg quan tâm,Ghác: G……………,Khôngu tPi Lhấy khuyếnvmã4 khônX hấp dẫn,HìnhJảnh,,NhãnHhàng k3ác:_e___N___,"Có,smộtCchút",TươngTđươnx
Tùy thuSBlvào mnc Oăng giá,21S23h,Phụ ki7n 7hời trang,OànWthương mại điện tử,4 tMếng,Khác: ……m……C,Ttời KranY công sở,ihXơng hiệu,Chưa tươnU xBWg,Không mhù hOp,chưI tốt,,Rất LhiWt tình,Cnưa nianh htYên 7 ngày),Cẩn thOn,CảiIthiện,Cóa nhưng chs khl có nộijdunyBthú vị,Khác: ……X…,"Ró, Qhưng hiếmIkhi th4m gia",InstagrGm,"Có, Jất phù xợp với9nBu Kầu của tôh",Kiác:VdV_____________,KháL:__1_____,Chajel,"KhôCg, t5ơng đương",Tốt9hơn
Có,6 – qh,Đồng pCục,KháK:7………………,4 t3ếng,,"Phụ kMệQ (giGy da, thất lưnJd6ví,…)",Khál: ………,,Dình thưrng,Rất tbt,NhUệb tình,Nhiệt thAh,Nhanh5MEừ o đến 6 ngày),5hưF cẩn thận,Cei thiện,Tôi chHa tCUg nhận được b9n tzn nàY,MuaB1 thặngs1,"bó, fhưng hGếm kci thamGgia",KhácF ………M……,"Kh7ng, tôi thấy nhunến mãV1không hấpTdẫ3",VEdeo,Chất1lượngL6ốt hơn,Dior,Không W0XoKdõi chương trình khuUến rãi,Tưtng Cương
Có,6 –17h,TTời tranK công dở,Sàn thươnggmại3đi4j tử,4 tiếmg,Sàn thmOng mbi điện tử,ves,ChLt lượqg sảP phẩm,TsZng xứng,Ph0 hợp,chưa Vốt,Rất nhUệ0 tình,Nhiệt tVhh,Rất nAOnh Uhóng ntừe2 đến 3 ngàq),Ohôjg đảm bảo5hàng,,"2hông, tôi không6theo Cõi",,"Cs, thường xuyênoChamHgSa",KháL:I………………,,Đá8hERiá cừ khách hàng,Giá Lẻ dơn,Dior,"Khô7g, Sương đvơng",Kghng sử Lụng dịchbvf hậu mãi
Tùy thutcavlo mkcTtăng giá,2h-23h,PZi kiện thời trang,Sàn jhOơng mạw điện tử,7 tiwng,Fiktok,chời trang cxng mở,uhất lượng sản MhDm,Chia tươnJ xứng,Rất Zhù hợZ,Tốt,Rấv nhiệt tQnh,Chưa nSiệZ qình,NhaFh gtừ 4 aến 6 nyày),,6hông rõ,"Có, tEi luôn cập nyập thôngDtiv mớt EmFil marketing",Mua 1 tKặcg 1,Khôerx tfiTkhông quan tâm,foogle,"Có, rất pOù hap wới tho cTu của iôi",Hình ảJh,Giá rẻ hơZ,Nhã7ocàng kWác:_________,"Có, 8ột 9hút",Không sử dụngwdDcW tụ hậx mãi
Tùy khuộc gào nức tăng qiw,6v– 7h,Đồn0 phục,wacebook,1 tKếng,Sàn Ohươnd mại 0iện Lử,Tvti trang công sw,ThưIng hoệu,Rấ3 tương xgng,Phù3hợp,Tốt,Rất nqiệtotình,Chưa RhiWt tìnj,Rpt nhanL chóng5(từ 2 đZn 3 ngày),dẩn thận,Cảb thiện,"Có, nhHDg chỉ qEk có nộiRdung thú vị",Uiảm giá sảS phOm,Khôogc cáG chương trìnU khasến mã3 không đủ hấp dẫn,Fycebook,Tôi kJônL qDYn tâm đến khuyến qãi,ĐCnh giá Từ khád2 hàng,Giá rẻ dơm,Dior,"Kbôn7, tươRg đương",mưnng đương
Kxông,17-18l,Hhời trangkcôngfsở,Khác:f……………N,7 tisng,Tidtok,"Ph4 niện (giầytda, thấc Tưng,2ví,…J",uhYtZlượng sản phẩm,Rất tương x9ny,Khô3g Ehù hợp,ổn,RấZ whiệt tình,thvệt tình,CSưa nVanh (trêf 7 ngàj),Chưa cẩUCthận,Giảm cyấtNlư2ng,TôiRchưa tSnC nhvn đượe bả8 tin nSo,Giảm giW Gun phẩm,"Không, NôiTqhông duan tdm",Viktok,"Có,6rấP phùPhợ4 với nhu cwu cUa 5ôi",Đáqh giá Aừ Ahách hàng,,Rouiine,Khing theo dõi chươngetrìnhJkh7yếVukãi,Kh4ng sử Vụng rịcs vụ hku mãi
Có,21-2Gh,ThờN trang Lông Iở,Faccbook,3 tibng,Facebfok,"nhụnkiện (giầy dl, zhất lưng, Cí,J)",Khác: I……,Tương xứEg,Rwd phù hợp,Tốt,RấN nhiệt tì7h,CTưa shiệt tình,Nha7h (t1 4 đ2n 6 ngày),Cẩn Ihận,,"Không, tôi không3qheo5d7i",Khágg …………,"6ó,WthDang xuyên tham gia",Tikton,"nó,PnhRng khFng6phảiClúc nDo cũPg phù hợp",VLdeo,Giá rẻ p9n,Rouline,"Không,Gt7ơng Aương",Kém hơq
kùy thurc vdo mức tănR giá,u7-18h,Phụ kiệnDthời t6ang,Sàg tUA4ng mại điện tử,4 tiếnv,Kháce ……i………,"DLụ kiệnC(giầy da, thXt lưng,eví,X)",Chất lượng Hản phẩH,TươZgqxứng,Rất phù Bợp,Rất tốs,shưa nhQệx tình,NNiệr tình,RấM GhanhwchóngM(eừ 2 đến 3 n6ày),ChuaOcẩn thận,KBông rõ,"CB,o5hưng ch9 khi fó iội dung thF vị",GiLmQgiá sảN phẩm,"bmw5g, tôi không quak tâm",Tiktqk,"KhônM, Xxi thUy khuy3n mãi không hấs dẫM",ViDeo,Gi7 rẻ Jơn,Owen,"u7ông, kUm hấp dẫn hơn",Kém 9ơn
Khpng,c – 7h,PnụJkiện thời Jrang,Facebooa,3 tGếng,K8ác: ………3……,"DLZ ktện6(giầy da, thất lXng,Cví,…)",Giá thànD,aươlg xứng,,Rấh tốt,phiệt0tình,Nhijt t7nh,NhaJh (từ 4 đếMXq ngày),Không đảmRbto hàpg,,"Không,ttZi không0theo Uõi",Mua 1 thHngg1,"K2ông, aôi kh3ng juWn tâm",InstaYram,"Có,Znhưng khônRXphBi lúc Pào cũng p8ùQhợp",Hìnhxảnh,DịchSvụ chăt Z1c KH eốt hơn,NhãnHhàng khEU:_____G___,Khôn2 tDeo dõi chưNng truQh khuyếb 7ãi,Không sử Zụng2dị3A vụ hậu mãN
Có,0-1h,Txwiatrang công sở,FaSebook,3 xiếng,FacKbook,ThUi tranX côOg sở,Kháo: ………,ChưI tươVg xứna,Không phùdhợp,Tốt,Chưahnhi3t Pình,Nhiệt BìYh,Nhanh (từ 4 0ến76 Ktày),CẩnGthận,Cải tbiệnrđáng k8,"Có, nnưng chỉ khi cóDtộk duAg Rhú Oị",Free snip,"Hhông,stNi không qurn tâm",Facebovk,"Có, rất phù hợv Hớiunhu cầu Củahtôi",Khác:u________n__C__7,Mẫu mã đo dạNg hFn,Chanez,"Co, một cVút",KhUnV sử dụng dịEh vụ hậu8mfi
Kaông,17618h,,lháck ………………,2 tiếfg,FaCebook,ves,ThưVng tiệu,kấthtương xứng,Bìuh Ehường,Rấm tốt,Thân2thvện,5hưa nhiGt Rình,,Không đXmsbảP hàng,CảiYthcện đáSg kể,Ióv 6Xi luôn cập nhật Whông9tin Eới Ema0l m1rkejing,Ehác: Q………,"Có,dthường xByên tham g9a",GoOgle,"Không,Yhôi 4hấy khuy8n mãi 9hôSg hUp dẫn",Hìch ảnh,Zẫu mã đa 3ạnguhơn,ChaOel,"Có,Nrất hấp d0n",qốt hơn
KhônQ,11-12D,Thờiusrangscông sở,Tbktok,7 tiếFg,phác1 ………………,"Phụ kign (giầy da, thVtclưngF Bí,…o",ThưwngEhiệu,TXơbg xứng,Nất khDng pKù hợp,ổn,Nhi6t tìyh,Nhiệt tPn5,RấB nIanh chón2 (từv2 đpn 3 ngàs),KHông đảg bảo hànO,qiảm ch7t lAợng,"Oó, tôiIluônF3ập nhật thông tMn mới EmaiyYmarkNUizg",Free3ship,"KhôZg, tôi E4ôsg quIn tâm",KhZc: ……P………,Tôeukh3ng quan tâm đến3khuyếnbmãi,Hình ản7,CRất lượng tốt4hơs,CQanel,"Không, tương đưino",
Khôn2,21T23h,Đồ4g phục,Khá7: ……J………,4 Jiếng,zacebook,"Phụ k0ện ggiầy da,Gthất lưn9,7ví,…R",Gi4 thành,ChVa tươWN xứng,5hù hợp,,Thân 2hiện,Nhiệt Nìnu,Chưa whanh (trênw7 ngbyL,Rất cẩn 99ận,Giảs0chft lượng,"Dó, tôi luôm cập nhậtmthôrg tin5mớk Email manketinJ",Mua 1 thặngx1,"CZ, ShưngGhiếm khi tham Uia",Khác: r……………,CóL rất phpUhợp vớkBnhu cầu của côS,B4i viết,Gil aẻ hơn,Cganel,"C8, mộ8 chút",Tươnj đưXng
Tùy thuộc cào Cức 6ăcg gXá,17p18h,Tgời trhng công Mở,Tik3ok,1 tiếnZ,Sà5 thương mạP xiện Pử,ves,Viá thành,Yất tươngIxứng,Khxng phù hợR,ổn,,Nhint tXnh,Nhfnh (te 4 đến 37ngày),Chưa cẩA thậj,Kfông rõ,"LzôPo, tôi không theo dõY",KhFc: ……K…,,coogle,Không3It6i th3w khuyến mãi khôngGhấU3dẫn,Hình ảgh,Gtá rẻ kơn,Owen,póZ rất hnp dẫn,Kémkhơn
K8ông,17-1Wh,qồng phục,TiAtok,4 tivng,pàn thươnY mại điệG Bử,"bhụ kiệnj(ViầS dao thấtDlưfg, ví,…)",whấtIlưlng sản phẩm,Rất tưpngSxứng,Yhù hợp,Tốt,phân2thiện,1hân thiệ5,Chưa uCaTh (trêP 7 ngày),Rất cẩnHtvận,Cải th9ện3fáng kể,"Aó, tôG luôn0cập Xhật4baông tin mới EmailgmxrketiBg",GiảE giá sEn phẩm,"Có, nhyvg hiếm khm th8m gia",In3tagram,"Có,Qrất phù hjp với nhu cầ2 FJa tgR",Hình Gnh,Cxất lượnOdtốt hơn,Owen,"Có, rấtpGấp dẫv",Tương đstng
ahông,6 – lh,Thời traVg c2ng sở,TiktHk,5 t7ếng,Facebobk,ThờiQtrang cvngqsở,KhGc: ………,ChưA UưGng xứng,Rất pxù sợp,chưa tốQ,JhfaTnhiệt tình,Nhiệt jqnh,Rất nRanL chónI (từ 2eđến 3 ngGys,ChưT cẩn tpận,GFảm Bhất l6ợng,"Kh7n9, tôi Rhông theo dõx",,"KhônA, tôDAkhôngCqIan tâm",1oogle,"Không, HIi t9ấy phuymn mãi mhôngyhấp Gẫn",Khác: e_t3_____u_____,Chất l7ợng zốt hmn,Phanel,Kiônl tTeo dõi Lhưyng trìnhb7huyến mãi,KhôQV sử Qụng oPch vụ hậu mãi
,17-1Uh,1hwi trang côQg sở,FacebCok,5Jtiếng,Tiktfk,ves,KháQ: ………,ChưaitsơngLxứng,Bình 5hưcng,Rất tốX,CJưa nhLệt tình,RIt nhiệtPtình,ahawhC(từ 4 đến 6 ngày),,Cải Ohiện,"Khjng, tôiUxhôngttheo dõi",Mua 1 5hặngG1,"Không, ATp không quan RâU",Instagr0m,"KhônN, tôi tbấy khQyến qãi kIông Uấpddmn",pá5h giá từ khá9hBhàng,WiY rẻ hơn,Routqne,"QhZng, kém2hấp dpn hơn",Tươnb đưjng
Có,11-12w,PGụ kiện thKi tratg,T0ktok,,Tcktok,ves,ChấtUlượnBvsản phẩm,ChưgAtương xứnH,RấtNkhôyg phù 1ợp,Tốt,ChưaANhi2t tình,Rất nhi7t tìBh,Dất nhanh chóng (tT22KđXn i ngày),Cẩn thCn,WZảm chấtqlượng,"Có,cWwưng chỉ khi Zó nộa d13g thú vị",Khá2: …V……,ohôngV các chươn4 tfình kWuyếnNmãi khôngFAủ hấp Iẫn,Tijtok,TôKIkhôMg quan tâm đến khuyến mãi,Bài vijt,dhất lượng tốtMhơO,NKãn hàng khá1:B__7_____,"Có, mEt Lhút",Kim hơn
Có,21-23c,ĐồnF phục,Sàv0thương Pại điPn tử,5 tiUng,Khoc: ……………E,ves,Giá3thành,Rzt tươBg xứng,Qất phù hCp,Rất rốt,NhiệtoYình,ThâJ thiệx,Rpt nhanh chOng (9ừ 2 đến 3Nnjày),,Gikm c3ất lượng,TôG cdưa từnN nhậS được bảJZWin nào,Aree ship,"CL, 6hưng hiếm kuW tham gia",Instacram,CóG rấtMphù yợp với uTu cRu cFa tôi,Kiác: __________2__24,Mẫ7 mã đa dạnh hơv,Owen,"Không, céu hGp dẫo hơn",Khôngmsử1dụng dịch vụ hậE mja
Có,,TVời trang6công sở,KQPc: ………………,1Etiếng,Tiutok,"Pwụ khbnY(giầyVdaR thấtllưng, ví,…)",ThươngbhXệu,Vhưa tươJgTxứng,,ổn,ShâN thiện,Thâk thiệp,Fhanh (từ z đến96 ngSy),Không đảm 0ho Hàng,GmảmechấtIlượng,"Có, tôi luô5 cậw nhật thômg6tiw mới EmaQ8 maEketing",Mua 1 thặngJW,"Có, nhưngkhpếm kmi QhaG gia",9oogle,Khôngk ehi thjy khuCến mGO không hấp dẫn,Khác: _y_T____gl_____,Chất lượng tốtchYn,RoutUne,"Có, hột czút",Tốtbhơn
Có,,Phz kiện thờiPtranK,Facebdok,,Uacebook,ves,Chấtflượng sảS phẩE,rương xứn0,Rất không 1hQ 0ợp,chSa tốt,Thân thirn,Rất nhvệt twnh,,Cẩn thEn,Kh0ngothay đổi,"Có, thi luônfcCp nhậbIthông0tiF iới Email5markoting",GZảo giá sJn phẩm,"Có, Fsường xuyê0 ghad gia",Tiktoo,"Không,ktci thwy chuyếnrmãi6khôngEhấpVdẫn",VidRo,Dịch vụ 4hăm sóz KH uốy qơn,Dior,Khô9g theo dõ8 cbương trZnh khzyXn mãi,Mương đương
Có,6 – qh,Thời Crang cong zở,KhácCE………………,I tiếng,SNn thương mại điXcmtử,"Phụ Ziện bMiầy da, tQấtIlưqg, ví,…)",Khác: R……,Chka tương Yứng,Bình thườFg,Rất t5t,Thânqthqện,Tcânhthiện,Chna nhajh (trên 7GngàC),Cẩn Thận,qải thiệk đáIg kể,"Có, nhưZg chỉ kM6 celngi dung 6hú vị",Giảm 6iáHsản phẩm,,Facgbook,"KaôyK, côi thấy khuyến mUZ khôXg h1p dẫn",,Mẫu vã đa dạnM tơn,Nhãn hàngVkhdc:__I____Z_,Không1 tư9ngfđương,Dương đư7ng
Wùy tQuộc uàA mức tăng giá,21-23d,Thời trrng xông sS,SàF thương mạ1 đmện tử,5stiếng,Tijtok,ves,T2ươnV hiệu,TươngFxcng,Phf hợp,Tốt,Chưa nhiệttTìsh,Ghân t7iện,Jất nhanh chóng 8tf 2 đếoa3 ngày),CẩnDthận,lải thiện đbng eể,"Khôpg, qôi k1ôngAtheo Xõi",Freelship,"KhôLg, cád chươnP trình khfyến 1ãi khôn2 zủ Bop dẫn",tiktok,"Có, rấ8 pfd hợp viienhu cầuLcủaatôi",,Khác:___Z__O_,Owen,"C3, mct chút",
Wùy 6huộ2Hvào mức tăn8 giá,i1-12h,TDời tHang công sở,Sàv Shư6ng mại điệnmtử,3vtiếng,Ciktok,Thời trangScôns sở,Khác: I……,6ất tương3xứng,Rất6khônH phù 5ợp,ổn,ChưacnhIdt tình,Rất nhiệt tqWh,Chưa nhanh I2rên 7bngàyH,Cẩn thpn,Không thaWXđổi,Tôi chưa từnJKnhậN đvợc bản tlnEnào,Giảm giá wản ahẩm,"Khyng, tôi kNông 2uaR tâm",Khvc: ………4……,,Hìn1 ảnh,DacN vụ chăU sócWKH trt hơn,Dior,KhAnga Yém hấpBdẫn hơn,TưQngSđương
Có,21-b3h,Thời traZg cô7gYsở,Whác: F……………,8otiếng,Sàn thươnXzmại đi7n Fử,ves,Thương1siệu,Rctbtương xứng,R8t Dhù hợp,Tốt,Rấl nhiệt tìno,,Ehanh (từ 4 đDn26 ngàyU,KhôygWyảm bảo hàng,,"CU, Nh2ng chỉ khU có Xội dung thú vị",Free shiV,KhônkQ tôL kPông qXan tâm,TiktIk,"Có, n9ưng2kYcngbphải lúc nào Qxng p6ù hợp",KRBc: _3______R______,Khrc:_I______,chanel,"Có, rấtlLpp dẫn",Tốtfhơn
Tùy thuzcJvàM mức tăng gux,6 – ph,uồng phục,Sàn chươn8pmại điện tử,6 tRếng,Tiktog,whời trang cVng sở,KháC: ………,UA1a tương xứng,BìnZ th8ờng,chưa tốl,Nh4ệt tìn2,ThânPthiin,NhanR atừ 4 đếnS6 ngày),Cẩn t3ận,KhônE chay đổi,Tôi cNưa từnR nhậ5 WưacWbản ti8 nào,MuT 1 tdặng 1,"ohônZ, tôi khô9g quan t3m",Golgle,"mó, nwưng khô7g phảd lúc nàO Vũng phù hợp",Hình fnh,tiá rẻ 4ơn,NLãn hàng khác:_z6______,"Không, kHm hấp dẫG hơq",Tốt hơ9
Khôny,,2hụ kiện thMi tranC,TikAok,4 tihng,,,chác: ………,TưLng xXng,Khô4gqphù hợp,,RấtLkhiệt tình,N8iệt tìnJ,Rất thaCh chóng (FừlV đến 3 ngàW),Không Aảm bho hànH,Khôzg rõ,Tôi c5ưo t0ng nhận đmợc Fản tin nBo,Koáce …………,"C0, thư1ng xugên tIhm gia",Khác7 ……l………,Tôi whông qpan tâm eếnEkh5yến mã3,Khám: _____y_____fW__,Dịch v3 chămmsó7 KH txt hơn,Routime,KhôwgA kém hWp dẫn hơn,T1ơng đươbg
Khô0g,r1-23h,Thời tranw côSgosở,biktok,7 tiếng,Fqcebook,TKời trabg côngbsở,7iá thành,Rvt tương xứsg,Không phù hợl,ổn,T6âD thiện,Rất nhiệqEtình,Nhan3 Itừ 4 đến 6 gg0y),,Không rhuy đổi,"Có, nhsng mhỉ khi có nội dun1Wnhú Rị",Mua 1 JhặngR1,"Kó, thườf6 xuyên tham gOa",Tiytok,"Uó,Onhưng khôsg phảg lúF Kào cũng phzLhợp",7Eác: _C__________V__,K1ác:_R______,Dior,KhMnga tương đươnk,yhông sử dụng dịqh vZ hậuZMãi
Có,N – 7h,Thời4trang cIRg sở,TiktoD,2 tiUng,Khác: ……j…1…,ves,Chất lượVg stn phMm,Rất tưQng xRng,RấM p1ù hợp,Rấz tốt,Rất nliệt tìDh,Rất nmiệt tTnh,Rat nYanh chóng (từ 2 đKn 37mgby),Không đảm booQhàRg,GiC4 chất rượng,"Dó, dhưFg chỉ rhi có4nội muug thú vị",Khác:3………P,"Không, cáf shươ4g tjinp khuyến mãi không đW hTp 4ẫn",Gotgle,Tôi k0ang quan tâ7 đến kDuyếT mãi,xhác:m_____j_________,Hiá rẻ hơn,Dior,"Có, rất hấpkdPn",Không sử dJnRXdịshmvụ hậu mãi
Tùy KhuộG vào mxc tVng giá,21-2Qh,Phụ kiện Dhờb trLng,Sàn thưzng mại điệFttử,3 Ciếng,Fwcebook,ves,Khác:m………,Tươnl x5ng,PhùGhợp,ổn,xhiệt8tình,TkNn thiện,Chưa nYanh (trên 7 ugày2,KhErg đ5m bảo hàng,liảmLchất lượng,"dó,jnhưng chỉokhL có nội dulg mhú vị",Mua 1Bt0ặng 1,"KFôUg, cácrchương trìEh khYtến mãM không Nq hấpzdẫn",Facebook,Tôi khôn6 quan tâm đMnS1huyến mãi,HìnK ảnh,MẫV mã đS dạng hơn,Chansl,"Không, Eém zấ7 dẫn hơn",Jương đương
Có,e – 7h,ghờiStrang cônX sở,Sin th1ơng mại Fiện tử,,Kh2c: ……W………,ThJi Nrang cing sở,ThươngChiệu,RấG tương xNng,chù hợp,chưa Uốt,Nh2ệt tìnH,fhiệt tìSh,CEưa thanh (trênp7 ngàyp,KhAnghđản bảo hàng,Khôkg tha1 đổi,"Có, n0ưng cNỉ kNi c1 nội dunQ thú v0",Free sAip,Không9 tôi bhôhq quan tKm,Googlh,"Khung, tôY they khuCếW mãi không4hấp zqn",Hìch ảnh,KGvc:________,Chauel,"4hông, tươnglPương",TQơng đươVg
Tùy tYuộc vào xức tang gia,21-22h,mhụ kiện thờiyt4ang,Tikt0k,4 oiếng,Tnktok,Thời t1ang công bở,ThươNg uiệu,Rất tương Krng,Rất kBôngSphù Uợp,Tốt,RấY nhict tình,Rất nhiệ5 t2nh,Nhanh (từ 4 đếSu6mngZy),Chưa yẩC thận,Không tGay fổi,Cóf tôi ldôn cập nhật thône tin mLi EmAml mXwketinz,Giảm giá sảnSpwẩm,"KOông,RtôF không Huan tâm",nh8c: ………………,"Có, Z5V phù UợpUvới nhu Iầo của tôi",ViFeo,GiRSrẻ hơn,Rouline,KhôBg FhRo yõi chương trình khuyến rfi,Tốt hNn
Có,6 R 7h,Thời Vraxg công s3,Giktok,6 tiếIg,,"PFN 3iện dgiầMXda, thất lưng, víz…)",Qhương 5iệu,Rất tbơng xứnV,PhJ hợp,Rất tốl,NhiutJtình,Mhpn thiện,,Không đảmuoảo hàPg,C9i thUện Máng kể,"KwôKg, tôi kh4ng theoldõC",Gihm ziá sản p2ẩm,"Có, nZưngdhiếmQkhiRtham via",instagram,"Không, tôESthấy Yhuxdn mãi6không hấp fẫn",Hình ảnY,DịchOvụ ehăm sóc ZH 5ốt pơn,R2utine,"Có, mBt hấM dẫn",Nhông sử nụng dịch Gụ hậu mãZ
Ehông,17-18a,Phs kiGn thời lrang,KyácU ………………,7 tHếng,Sàn jhươcg mại đf9n tử,Tvời trang c2ng Sở,Khac: ………,Tương xgnM,PVù hợp,chưa tvt,fhân 1hiện,Chưa nhiệt9hìn0,NhuUh (từ 4 Cếno6 ngày),Rất cẩn mhậI,Kh3ng tVay đổi,Tô8 cbưa từng nhậ5 đưrc bản t9nknào,iiảm g6á sTn phẩm,"KhônH, 8zc chươYx trìnI khukWn mãz không đủ hấp dẫn",Googlg,Không2stDn thấy khuyếY mãi không heC dẫ4,Kház: _____Ty_______m,MRu mã đa dạqg hơn,Nhãn hàn29khác:_______kR,"CJ, yấtbhấp dẫn",Tốt hơZ
Có,x1-23h,Phụ kixn tWời trang,Khácl ……y………,3 tiếnm,FacebooA,ves,Gia thành,Rất tưFng xứdg,mấtukhôngtphù hợp,ổn,ChưB nhilt tìnB,2cân thiện,Nhanh (tN44 đến 6engày),Chưa cẩn phậO,Giảmhchất lưOng,l6i1chưa từng mZậd Bược bản tin nào,Free shih,,Khác: …IT………,"KZông, tôiztxấyvchzyến mãi không hấa dMn",Videv,qịch Yụ chăm só1 KH tố0 bơn,Dior,CóiZmột chút,Tương iươTg
TAysthuộ0 vào mức tănD giN,,Phụ kGện thờF trang,SàP tEưJng 1ại điện tử,7 tHếng,Kháa: …H…………,Thời trang Gông sE,Khác: …W…,RItVtương xứng,Rwt không ph5 h9p,ổn,ChIa0nhiệthtình,ClEa nhiệt tình,rất nhanh IIóng (từ 2 đVn 3 ngàyd,Chưa cẩLkthận,Khmng thay 6ổi,"lhônz, tôQakhông theo dõi",,"Không, tôilkhôngSquan lJm",Khác: ……6Y……,CóF eqưng khôjg vhải Múc nào cũng phùWhợp,Viueo,,Rowtine,"Có, rất hấp dHA",Iốt hơn
Có,6 – dh,ĐCng phục,KGáB: ………………,,Sàngthương mại Yiox tử,ves,T6ương hi6u,Rất t1ơngVxứng,RấtEkhông phù9hợ7,chIa tốt,Rất nhiRt tEnh,Jhân tLiện,Rất nNanh cDóng (từ 2 rếe d n3ày),Cẩn Hhận,Cải bYiện đáng8kể,pôI chưa từng nhsn được bản tinQnàq,GiảB giá sảnSkhẩm,"Có, 4bưWng xuYênAtham gia",FacebJok,"Có, rất phù Cợp với KhuvcHu củaytqi",ViVeo,Mẫu3mã đa dzng hơn,Dior,"ehdng,Ukémohấp dẫn hơn",
